epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
46,1.1189,0.92644,1.1849,0.8174,0.68547,0.78804,0.55731,0.97963,0.72688,1.0771,0.008515,0.008515,0.008515
47,1.1195,0.92419,1.1832,0.81483,0.68784,0.78824,0.55726,0.97894,0.727,1.0767,0.008482,0.008482,0.008482
48,1.1197,0.92583,1.1849,0.81084,0.68939,0.78881,0.5575,0.97833,0.72616,1.0762,0.008449,0.008449,0.008449
49,1.1179,0.92534,1.1843,0.81351,0.6872,0.78952,0.55762,0.978,0.72587,1.0761,0.008416,0.008416,0.008416
50,1.118,0.92555,1.1846,0.81635,0.68602,0.78907,0.55811,0.97703,0.72483,1.0757,0.008383,0.008383,0.008383
51,1.1183,0.92654,1.184,0.81588,0.6863,0.79001,0.55854,0.9768,0.72495,1.0755,0.00835,0.00835,0.00835
52,1.1177,0.92265,1.183,0.82008,0.68384,0.79018,0.55862,0.97635,0.72383,1.0755,0.008317,0.008317,0.008317
53,1.1134,0.92265,1.183,0.819,0.6853,0.79036,0.55882,0.97582,0.7234,1.0749,0.008284,0.008284,0.008284
54,1.1118,0.92131,1.1832,0.81636,0.68684,0.79036,0.5588,0.9754,0.72253,1.0748,0.008251,0.008251,0.008251
55,1.1161,0.9218,1.1824,0.81998,0.68502,0.7907,0.55883,0.97575,0.72224,1.0751,0.008218,0.008218,0.008218
56,1.1125,0.91872,1.1835,0.81843,0.68569,0.79082,0.55935,0.97658,0.72238,1.0762,0.008185,0.008185,0.008185
57,1.1128,0.92251,1.1828,0.81798,0.68648,0.79092,0.55946,0.97597,0.72268,1.0761,0.008152,0.008152,0.008152
58,1.1127,0.9203,1.1806,0.81545,0.68903,0.79129,0.55955,0.97548,0.72199,1.0754,0.008119,0.008119,0.008119
59,1.112,0.91957,1.1804,0.81802,0.68621,0.79135,0.55989,0.9752,0.72229,1.0752,0.008086,0.008086,0.008086
60,1.1109,0.91748,1.1796,0.81944,0.6853,0.79101,0.55969,0.97432,0.72152,1.0748,0.008053,0.008053,0.008053
61,1.1107,0.91623,1.1806,0.81655,0.68806,0.79108,0.56021,0.97354,0.72183,1.0742,0.00802,0.00802,0.00802
62,1.1098,0.91687,1.1803,0.81466,0.68984,0.79089,0.56,0.97282,0.72141,1.0734,0.007987,0.007987,0.007987
63,1.1104,0.91577,1.1812,0.81586,0.68851,0.79111,0.56024,0.97384,0.71974,1.0745,0.007954,0.007954,0.007954
64,1.1083,0.91583,1.1796,0.81745,0.68855,0.79157,0.56065,0.97273,0.71962,1.0737,0.007921,0.007921,0.007921
65,1.108,0.91447,1.1787,0.81517,0.68978,0.79102,0.56033,0.97242,0.7189,1.0735,0.007888,0.007888,0.007888
66,1.11,0.91592,1.1799,0.81559,0.6902,0.7915,0.56044,0.97251,0.71832,1.0734,0.007855,0.007855,0.007855
67,1.11,0.91484,1.1779,0.81501,0.68864,0.7915,0.56039,0.97244,0.71797,1.0732,0.007822,0.007822,0.007822
68,1.1069,0.91459,1.1785,0.81376,0.69048,0.79145,0.56069,0.97179,0.71762,1.0726,0.007789,0.007789,0.007789
69,1.1066,0.91387,1.1769,0.81608,0.68811,0.79154,0.56059,0.97135,0.71753,1.072,0.007756,0.007756,0.007756
70,1.1052,0.91073,1.1763,0.81107,0.69248,0.79197,0.56095,0.9709,0.71632,1.0717,0.007723,0.007723,0.007723
71,1.1052,0.90981,1.1777,0.81255,0.69111,0.79239,0.56127,0.97112,0.71663,1.0716,0.00769,0.00769,0.00769
72,1.1056,0.91385,1.1775,0.81094,0.69102,0.79219,0.56178,0.96967,0.71603,1.0709,0.007657,0.007657,0.007657
73,1.1057,0.90967,1.1772,0.81104,0.69155,0.79231,0.56198,0.96881,0.71565,1.0703,0.007624,0.007624,0.007624
74,1.1045,0.9092,1.1761,0.80847,0.69529,0.79254,0.56187,0.96834,0.71545,1.0698,0.007591,0.007591,0.007591
75,1.1041,0.9097,1.1756,0.81202,0.69457,0.792,0.56214,0.96811,0.71557,1.0693,0.007558,0.007558,0.007558
76,1.1019,0.9046,1.1745,0.81206,0.69475,0.79218,0.56178,0.96781,0.714,1.0688,0.007525,0.007525,0.007525
77,1.1012,0.90444,1.1738,0.81601,0.69244,0.79274,0.56177,0.9672,0.71366,1.0685,0.007492,0.007492,0.007492
78,1.1026,0.90842,1.1762,0.81469,0.69318,0.79312,0.56187,0.96646,0.71439,1.068,0.007459,0.007459,0.007459
79,1.1049,0.90666,1.1768,0.8177,0.69175,0.79285,0.56215,0.96657,0.71427,1.0682,0.007426,0.007426,0.007426
80,1.1029,0.90403,1.1761,0.82031,0.69066,0.79275,0.56266,0.96582,0.71318,1.0675,0.007393,0.007393,0.007393
81,1.1018,0.90571,1.1752,0.81942,0.69275,0.7935,0.56304,0.96583,0.71319,1.0674,0.00736,0.00736,0.00736
82,1.099,0.90444,1.1744,0.81854,0.69357,0.79427,0.56316,0.96569,0.71284,1.0672,0.007327,0.007327,0.007327
83,1.0992,0.90263,1.1715,0.8182,0.69384,0.79425,0.563,0.96506,0.71203,1.0665,0.007294,0.007294,0.007294
84,1.1011,0.90629,1.1731,0.81895,0.69346,0.79416,0.5632,0.96469,0.71189,1.066,0.007261,0.007261,0.007261
85,1.0963,0.90025,1.1705,0.81671,0.69484,0.79411,0.5636,0.9643,0.71067,1.0652,0.007228,0.007228,0.007228
86,1.0977,0.89931,1.1734,0.81661,0.69562,0.79411,0.56388,0.9643,0.71035,1.0653,0.007195,0.007195,0.007195
87,1.0982,0.90149,1.1721,0.81712,0.69411,0.79394,0.5639,0.96512,0.71032,1.0658,0.007162,0.007162,0.007162
88,1.097,0.90024,1.1715,0.81199,0.69956,0.7946,0.56418,0.96478,0.71025,1.0657,0.007129,0.007129,0.007129
89,1.0972,0.89715,1.171,0.81246,0.69793,0.79447,0.56467,0.96438,0.7097,1.0654,0.007096,0.007096,0.007096
90,1.099,0.90079,1.173,0.80998,0.69856,0.7942,0.56454,0.96454,0.7092,1.0654,0.007063,0.007063,0.007063
91,1.0956,0.89639,1.1696,0.8148,0.69711,0.79463,0.56501,0.96469,0.70839,1.0655,0.00703,0.00703,0.00703
92,1.0939,0.89782,1.1689,0.82161,0.69447,0.79471,0.5654,0.96449,0.70803,1.0655,0.006997,0.006997,0.006997
93,1.093,0.89885,1.1718,0.82196,0.6942,0.79505,0.5658,0.96413,0.70763,1.0649,0.006964,0.006964,0.006964
94,1.0917,0.89657,1.1683,0.82053,0.69426,0.79505,0.5655,0.96386,0.7077,1.0649,0.006931,0.006931,0.006931
95,1.0948,0.89848,1.1698,0.82259,0.69311,0.79526,0.56571,0.96343,0.70731,1.0644,0.006898,0.006898,0.006898
96,1.0926,0.89579,1.1676,0.82497,0.69275,0.79599,0.56628,0.96327,0.70605,1.0642,0.006865,0.006865,0.006865
97,1.0923,0.89382,1.1686,0.82184,0.69466,0.79599,0.56657,0.96324,0.70641,1.0641,0.006832,0.006832,0.006832
98,1.0898,0.89001,1.1664,0.82625,0.69111,0.7963,0.56677,0.96338,0.70553,1.0639,0.006799,0.006799,0.006799
99,1.0917,0.89378,1.166,0.82346,0.69346,0.79647,0.56703,0.96279,0.70473,1.0635,0.006766,0.006766,0.006766
100,1.0901,0.89341,1.1678,0.82239,0.6942,0.79645,0.56733,0.96209,0.70413,1.063,0.006733,0.006733,0.006733
101,1.093,0.89435,1.1689,0.82306,0.69409,0.79624,0.56706,0.9614,0.70334,1.0626,0.0067,0.0067,0.0067
102,1.0899,0.89089,1.1671,0.81857,0.69662,0.79637,0.56687,0.96099,0.70344,1.0623,0.006667,0.006667,0.006667
103,1.0886,0.89056,1.1668,0.81929,0.6982,0.79707,0.56711,0.95967,0.70291,1.0615,0.006634,0.006634,0.006634
104,1.091,0.8933,1.1648,0.81897,0.69931,0.79693,0.56705,0.95975,0.70263,1.0612,0.006601,0.006601,0.006601
105,1.0867,0.88705,1.1641,0.82197,0.69524,0.79693,0.56709,0.95966,0.70176,1.0613,0.006568,0.006568,0.006568
106,1.0893,0.89164,1.1661,0.82338,0.69557,0.79723,0.56742,0.95938,0.70134,1.0613,0.006535,0.006535,0.006535
107,1.0884,0.89029,1.1655,0.82096,0.69715,0.79776,0.56767,0.95923,0.70085,1.0615,0.006502,0.006502,0.006502
108,1.0853,0.88805,1.1647,0.82047,0.69884,0.79814,0.56774,0.95881,0.70054,1.0618,0.006469,0.006469,0.006469
109,1.0855,0.88471,1.164,0.81734,0.69975,0.79876,0.56808,0.95831,0.69973,1.0619,0.006436,0.006436,0.006436
110,1.0869,0.88649,1.1651,0.81859,0.69958,0.79806,0.56822,0.95782,0.69934,1.0616,0.006403,0.006403,0.006403
