epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
46,1.2114,1.0379,1.2332,0.7896,0.64867,0.74569,0.50945,1.0818,0.81984,1.1339,0.00901,0.00901,0.00901
47,1.2117,1.0368,1.2338,0.79134,0.64761,0.74595,0.50964,1.0818,0.81837,1.134,0.008988,0.008988,0.008988
48,1.2128,1.0394,1.2325,0.79174,0.64822,0.74637,0.51007,1.0819,0.81688,1.1341,0.008966,0.008966,0.008966
49,1.2106,1.0382,1.2342,0.79137,0.65004,0.74712,0.51016,1.0812,0.81698,1.1344,0.008944,0.008944,0.008944
50,1.2127,1.0382,1.2338,0.79146,0.64776,0.74655,0.51029,1.0805,0.81627,1.1341,0.008922,0.008922,0.008922
51,1.2112,1.0385,1.2331,0.79096,0.64913,0.74673,0.51077,1.0789,0.81599,1.1327,0.0089,0.0089,0.0089
52,1.2115,1.0364,1.2329,0.79034,0.64781,0.74623,0.5106,1.0764,0.81696,1.1305,0.008878,0.008878,0.008878
53,1.2079,1.035,1.2341,0.78894,0.64995,0.74668,0.51067,1.0761,0.81697,1.1303,0.008856,0.008856,0.008856
54,1.2074,1.0363,1.2339,0.78907,0.64913,0.74674,0.51103,1.074,0.81607,1.129,0.008834,0.008834,0.008834
55,1.2099,1.0352,1.2337,0.79144,0.64786,0.74701,0.51086,1.0725,0.8154,1.128,0.008812,0.008812,0.008812
56,1.2083,1.0332,1.2333,0.79119,0.64873,0.74735,0.51107,1.071,0.81452,1.1275,0.00879,0.00879,0.00879
57,1.2084,1.0352,1.2329,0.79129,0.64844,0.74699,0.5111,1.0702,0.81402,1.1272,0.008768,0.008768,0.008768
58,1.2078,1.0329,1.2318,0.78816,0.6504,0.74717,0.51144,1.0692,0.81277,1.1266,0.008746,0.008746,0.008746
59,1.2071,1.0334,1.2339,0.78802,0.65085,0.74809,0.51185,1.0686,0.81243,1.1268,0.008724,0.008724,0.008724
60,1.208,1.0334,1.2335,0.79125,0.64858,0.74779,0.51156,1.0676,0.81215,1.1255,0.008702,0.008702,0.008702
61,1.2061,1.0321,1.2317,0.79156,0.64895,0.74779,0.5117,1.0688,0.81296,1.1258,0.00868,0.00868,0.00868
62,1.2052,1.0314,1.2318,0.78831,0.65109,0.74826,0.51209,1.0687,0.81254,1.126,0.008658,0.008658,0.008658
63,1.2061,1.0303,1.2318,0.78656,0.6527,0.74764,0.51214,1.0665,0.81287,1.1242,0.008636,0.008636,0.008636
64,1.204,1.0306,1.2307,0.78879,0.65285,0.74845,0.51247,1.0659,0.81101,1.1237,0.008614,0.008614,0.008614
65,1.203,1.0291,1.2303,0.7864,0.65385,0.74843,0.51256,1.0655,0.81048,1.1233,0.008592,0.008592,0.008592
