epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
46,1.1574,0.97473,1.2013,0.81068,0.66452,0.76957,0.53659,1.0208,0.77076,1.0909,0.005545,0.005545,0.005545
47,1.1561,0.97289,1.2026,0.8068,0.66882,0.77002,0.53712,1.021,0.7694,1.0909,0.005446,0.005446,0.005446
48,1.1542,0.97062,1.2001,0.8123,0.666,0.77028,0.53703,1.0206,0.76834,1.0906,0.005347,0.005347,0.005347
49,1.1533,0.96877,1.1992,0.80802,0.67052,0.77127,0.53749,1.0189,0.76644,1.0894,0.005248,0.005248,0.005248
50,1.1489,0.96321,1.197,0.80893,0.67023,0.77139,0.53784,1.0177,0.76535,1.0886,0.005149,0.005149,0.005149
51,1.148,0.96541,1.1966,0.80738,0.67221,0.77184,0.53885,1.016,0.76396,1.0876,0.00505,0.00505,0.00505
52,1.1476,0.96205,1.1956,0.80647,0.67333,0.77246,0.53951,1.0145,0.76299,1.0866,0.004951,0.004951,0.004951
53,1.1444,0.95799,1.194,0.80752,0.67241,0.7728,0.53968,1.0139,0.76132,1.0863,0.004852,0.004852,0.004852
54,1.1417,0.95531,1.1917,0.80848,0.67427,0.77381,0.5404,1.0129,0.76015,1.0853,0.004753,0.004753,0.004753
55,1.1391,0.95194,1.19,0.81002,0.6756,0.77397,0.54095,1.0117,0.75956,1.0844,0.004654,0.004654,0.004654
56,1.1389,0.95065,1.1903,0.81167,0.67421,0.77466,0.54193,1.0105,0.75834,1.0832,0.004555,0.004555,0.004555
57,1.136,0.94692,1.1879,0.80774,0.678,0.77541,0.5427,1.0098,0.75676,1.0828,0.004456,0.004456,0.004456
58,1.1332,0.94383,1.1862,0.80925,0.67924,0.77637,0.54312,1.009,0.75515,1.0823,0.004357,0.004357,0.004357
59,1.1307,0.94151,1.1837,0.8076,0.68157,0.77674,0.54389,1.008,0.7535,1.0811,0.004258,0.004258,0.004258
60,1.1278,0.93863,1.1836,0.80874,0.68187,0.77769,0.54472,1.0064,0.75202,1.0794,0.004159,0.004159,0.004159
61,1.1266,0.93482,1.1816,0.8074,0.68221,0.7778,0.54538,1.0048,0.75057,1.0782,0.00406,0.00406,0.00406
62,1.1244,0.93353,1.1801,0.80714,0.68336,0.7784,0.54605,1.0043,0.74928,1.0779,0.003961,0.003961,0.003961
63,1.1207,0.929,1.1776,0.80495,0.68424,0.77907,0.54687,1.0034,0.74755,1.077,0.003862,0.003862,0.003862
64,1.119,0.92702,1.1755,0.80975,0.68166,0.77884,0.54694,1.0024,0.74658,1.0758,0.003763,0.003763,0.003763
65,1.1169,0.92286,1.1758,0.8144,0.67984,0.77951,0.54764,1.0018,0.74572,1.0753,0.003664,0.003664,0.003664
66,1.1159,0.92206,1.175,0.81636,0.6787,0.77984,0.54787,1.0008,0.74425,1.0746,0.003565,0.003565,0.003565
67,1.1121,0.91763,1.1724,0.81597,0.67966,0.78045,0.54856,1,0.74371,1.0741,0.003466,0.003466,0.003466
68,1.1084,0.91314,1.17,0.81464,0.68145,0.78056,0.54912,0.99873,0.74281,1.073,0.003367,0.003367,0.003367
69,1.1064,0.91038,1.1686,0.81377,0.68423,0.78151,0.54986,0.99831,0.74255,1.0722,0.003268,0.003268,0.003268
70,1.1034,0.9078,1.1675,0.81768,0.68118,0.78201,0.55024,0.99736,0.74116,1.0715,0.003169,0.003169,0.003169
71,1.1019,0.90377,1.1659,0.81596,0.68296,0.78255,0.55077,0.99614,0.73923,1.0709,0.00307,0.00307,0.00307
72,1.098,0.89968,1.1628,0.81329,0.68475,0.78342,0.55154,0.99539,0.7379,1.0696,0.002971,0.002971,0.002971
73,1.0945,0.8958,1.162,0.81324,0.6854,0.78387,0.55206,0.99366,0.73623,1.0681,0.002872,0.002872,0.002872
74,1.0916,0.89313,1.1609,0.81399,0.68514,0.78466,0.55315,0.99216,0.73491,1.0674,0.002773,0.002773,0.002773
75,1.0877,0.88792,1.1583,0.81348,0.68669,0.78486,0.55371,0.9915,0.73319,1.067,0.002674,0.002674,0.002674
76,1.0846,0.88439,1.1555,0.81466,0.68742,0.78563,0.55456,0.98992,0.7316,1.0661,0.002575,0.002575,0.002575
77,1.0825,0.88114,1.154,0.81503,0.68902,0.78597,0.55516,0.98827,0.72983,1.0648,0.002476,0.002476,0.002476
78,1.0777,0.87578,1.1525,0.81537,0.6891,0.78646,0.55526,0.98737,0.72826,1.0644,0.002377,0.002377,0.002377
79,1.076,0.87252,1.1502,0.81732,0.68799,0.78745,0.55638,0.98615,0.72693,1.0635,0.002278,0.002278,0.002278
80,1.0713,0.86787,1.1482,0.81783,0.68887,0.7877,0.55714,0.98526,0.72524,1.0626,0.002179,0.002179,0.002179
81,1.0666,0.86273,1.1444,0.81995,0.68826,0.78822,0.55769,0.98423,0.72411,1.0616,0.00208,0.00208,0.00208
82,1.0655,0.86063,1.1446,0.8195,0.68848,0.78843,0.55804,0.98336,0.72293,1.0607,0.001981,0.001981,0.001981
83,1.0599,0.85461,1.1405,0.81789,0.69135,0.78934,0.55879,0.98194,0.7213,1.0596,0.001882,0.001882,0.001882
84,1.0561,0.84839,1.1386,0.8208,0.68918,0.78992,0.55974,0.98061,0.71941,1.0588,0.001783,0.001783,0.001783
85,1.0524,0.84383,1.1366,0.82042,0.6906,0.79046,0.5606,0.97897,0.7181,1.0576,0.001684,0.001684,0.001684
86,1.0483,0.83899,1.1332,0.81881,0.69181,0.79059,0.56131,0.97762,0.71674,1.0565,0.001585,0.001585,0.001585
87,1.0441,0.83145,1.1311,0.8197,0.69313,0.79187,0.56232,0.97696,0.71529,1.0556,0.001486,0.001486,0.001486
88,1.0392,0.82587,1.1298,0.82082,0.69301,0.79247,0.5631,0.97637,0.71414,1.0551,0.001387,0.001387,0.001387
89,1.0323,0.81914,1.1242,0.82039,0.69568,0.79301,0.56378,0.97567,0.71279,1.0543,0.001288,0.001288,0.001288
90,1.0188,0.7702,1.098,0.82194,0.69484,0.79369,0.56441,0.97441,0.71103,1.053,0.001189,0.001189,0.001189
91,1.0119,0.75984,1.0943,0.8236,0.69411,0.79428,0.56579,0.97281,0.70823,1.0524,0.00109,0.00109,0.00109
92,1.0028,0.74851,1.0899,0.82534,0.69396,0.7946,0.56659,0.97165,0.70669,1.0518,0.000991,0.000991,0.000991
93,0.994,0.73786,1.0842,0.82462,0.69507,0.79533,0.56702,0.97026,0.70471,1.0508,0.000892,0.000892,0.000892
94,0.98508,0.72554,1.078,0.82459,0.69617,0.79612,0.5681,0.96953,0.7036,1.0498,0.000793,0.000793,0.000793
95,0.97658,0.71379,1.0736,0.82272,0.69856,0.79699,0.56859,0.96863,0.70232,1.0485,0.000694,0.000694,0.000694
96,0.96701,0.70297,1.0677,0.8248,0.69926,0.79745,0.5692,0.96805,0.70086,1.0479,0.000595,0.000595,0.000595
97,0.95728,0.69026,1.0618,0.8277,0.69702,0.79772,0.56978,0.9673,0.69936,1.0471,0.000496,0.000496,0.000496
98,0.94585,0.67721,1.0556,0.82743,0.69673,0.79756,0.57005,0.96665,0.69858,1.0464,0.000397,0.000397,0.000397
99,0.93609,0.66463,1.0495,0.82804,0.69717,0.79764,0.57034,0.96676,0.69746,1.0462,0.000298,0.000298,0.000298
