epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
46,1.2809,1.1275,1.27,0.77913,0.61548,0.71357,0.47667,1.1327,0.90016,1.1528,0.00703,0.00703,0.00703
47,1.2807,1.1272,1.2712,0.77973,0.61484,0.71428,0.47746,1.132,0.89855,1.1523,0.006964,0.006964,0.006964
48,1.2782,1.1257,1.2686,0.78046,0.6142,0.71465,0.47802,1.1311,0.89735,1.1511,0.006898,0.006898,0.006898
49,1.2784,1.1237,1.2678,0.77847,0.61578,0.71546,0.47837,1.1307,0.89495,1.1506,0.006832,0.006832,0.006832
50,1.2753,1.12,1.2674,0.78012,0.61617,0.71594,0.47857,1.1309,0.89396,1.1508,0.006766,0.006766,0.006766
51,1.2753,1.1234,1.2674,0.78191,0.6159,0.71649,0.479,1.1306,0.89344,1.1506,0.0067,0.0067,0.0067
52,1.2762,1.1217,1.2669,0.78245,0.61544,0.71617,0.47932,1.1303,0.89202,1.1502,0.006634,0.006634,0.006634
53,1.2743,1.1187,1.267,0.77922,0.61765,0.71626,0.47965,1.1285,0.89097,1.1494,0.006568,0.006568,0.006568
54,1.2718,1.1163,1.2647,0.77959,0.61802,0.71668,0.48002,1.1281,0.89067,1.1491,0.006502,0.006502,0.006502
55,1.2708,1.1156,1.2647,0.78104,0.61729,0.71717,0.48026,1.1279,0.88965,1.1488,0.006436,0.006436,0.006436
56,1.2712,1.1155,1.2646,0.7807,0.61835,0.71777,0.48072,1.1275,0.88883,1.1483,0.00637,0.00637,0.00637
57,1.2691,1.1122,1.262,0.77612,0.6215,0.71782,0.48066,1.1267,0.88833,1.1477,0.006304,0.006304,0.006304
58,1.268,1.1101,1.2616,0.77745,0.62165,0.71862,0.48085,1.1267,0.88768,1.1475,0.006238,0.006238,0.006238
59,1.2666,1.1106,1.261,0.7826,0.61938,0.71929,0.48142,1.1257,0.88692,1.1466,0.006172,0.006172,0.006172
60,1.2651,1.1082,1.261,0.78045,0.62141,0.71899,0.48166,1.1247,0.88587,1.1459,0.006106,0.006106,0.006106
61,1.2649,1.1053,1.2592,0.78377,0.61947,0.71982,0.48253,1.1243,0.88437,1.1456,0.00604,0.00604,0.00604
62,1.2634,1.1061,1.2576,0.78748,0.61791,0.72033,0.48328,1.124,0.88376,1.1449,0.005974,0.005974,0.005974
63,1.2616,1.1031,1.2571,0.7856,0.61937,0.72091,0.48333,1.1233,0.883,1.1442,0.005908,0.005908,0.005908
64,1.2614,1.1022,1.2561,0.78603,0.61837,0.72102,0.48377,1.1232,0.88174,1.1438,0.005842,0.005842,0.005842
65,1.2594,1.0984,1.2556,0.78525,0.61859,0.72111,0.48389,1.1223,0.88078,1.1431,0.005776,0.005776,0.005776
66,1.2604,1.0998,1.2564,0.78153,0.62099,0.72127,0.48409,1.1212,0.87982,1.1424,0.00571,0.00571,0.00571
67,1.2584,1.0991,1.2548,0.78331,0.62005,0.72146,0.48476,1.1202,0.87837,1.1417,0.005644,0.005644,0.005644
68,1.2569,1.0956,1.2539,0.78194,0.62259,0.72232,0.48496,1.119,0.87679,1.1409,0.005578,0.005578,0.005578
69,1.2542,1.0941,1.2521,0.78194,0.6228,0.72291,0.48518,1.1183,0.87629,1.1403,0.005512,0.005512,0.005512
70,1.2547,1.095,1.2525,0.78243,0.62343,0.7235,0.48571,1.1178,0.87642,1.1401,0.005446,0.005446,0.005446
71,1.254,1.0922,1.2517,0.78577,0.6223,0.72383,0.48596,1.1173,0.8754,1.1398,0.00538,0.00538,0.00538
72,1.2521,1.0883,1.2503,0.78808,0.62035,0.72364,0.48644,1.117,0.8745,1.1394,0.005314,0.005314,0.005314
73,1.2505,1.088,1.2506,0.78447,0.62259,0.72341,0.48639,1.1169,0.87363,1.1394,0.005248,0.005248,0.005248
74,1.2493,1.0867,1.2483,0.78414,0.62502,0.7242,0.48681,1.1162,0.87254,1.1386,0.005182,0.005182,0.005182
